formula,band_gap,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,a,b,c,volume,density
KTlO3,,1.64,1.9,0.6,0.82,1.62,3.44,0.5,0.32005319,1.461112979,0.6335676759431464,3.1666666666666665,3.341203820042827,3.5355339059327378,3.729863991822649,44.06065727727147,10.985421883796977
KTlS3,,1.64,1.9,1.0,0.82,1.62,2.58,0.5,0.32005319,2.07710426,0.6437110008043053,1.9,3.8820364312496793,4.1012193308819755,4.320402230514272,68.78548187907096,8.200268912556202
KTlSe3,,1.64,1.9,1.15,0.82,1.62,2.55,0.5,0.32005319,2.020604712,0.6468288260690057,1.6521739130434783,4.084848660452249,4.31335136523794,4.541854070023631,80.02468703872287,9.967897125359332
KSbI3,,1.64,1.45,1.4,0.82,2.05,2.66,0.5,1.04740119,3.059046537,0.7542472332656507,1.0357142857142858,3.8819323548488227,4.030508652763321,4.17908495067782,65.386639922976,13.753910641628107
KSbBr3,,1.64,1.45,1.15,0.82,2.05,2.96,0.5,1.04740119,3.3635883,0.7587799690424876,1.2608695652173914,3.5439119728445396,3.676955262170047,3.8099985514955543,49.6473511360211,13.398059811574308
KSbCl3,,1.64,1.45,1.0,0.82,2.05,3.16,0.5,1.04740119,3.61272528,0.761943633605096,1.45,3.341099743641971,3.464823227814083,3.588546711986196,41.54216506649226,10.6815602200252
KSbF3,,1.64,1.45,0.5,0.82,2.05,3.98,0.5,1.04740119,3.401189824,0.7760043649944673,2.9,2.665058979633405,2.7577164466275357,2.850373913621666,20.948757460751914,17.268934448265522
KSbO3,,1.64,1.45,0.6,0.82,2.05,3.44,0.5,1.04740119,1.461112979,0.7726435072477397,2.4166666666666665,2.8002671324351183,2.899137802864845,2.9980084732945715,24.338912973942517,14.249711340675805
KSbS3,,1.64,1.45,1.0,0.82,2.05,2.58,0.5,1.04740119,2.07710426,0.761943633605096,1.45,3.341099743641971,3.464823227814083,3.588546711986196,41.54216506649226,10.27527148768513
KSbSe3,,1.64,1.45,1.15,0.82,2.05,2.55,0.5,1.04740119,2.020604712,0.7587799690424876,1.2608695652173914,3.5439119728445396,3.676955262170047,3.8099985514955543,49.6473511360211,13.303336599727652
KBiI3,,1.64,1.6,1.4,0.82,2.02,2.66,0.5,0.94236213,3.059046537,0.7165348716023681,1.142857142857143,4.062244584051393,4.242640687119286,4.4230367901871785,76.22946515594701,13.697567830782404
KBiBr3,,1.64,1.6,1.15,0.82,2.02,2.96,0.5,0.94236213,3.3635883,0.7173919707310791,1.3913043478260871,3.7242242020471097,3.8890872965260117,4.053950391004913,58.716740589796935,13.795289705987527
KBiCl3,,1.64,1.6,1.0,0.82,2.02,3.16,0.5,0.94236213,3.61272528,0.7179853470509558,1.6,3.5214119728445405,3.6769552621700474,3.8324985514955543,49.62347593739446,11.860745216466412
KBiF3,,1.64,1.6,0.5,0.82,2.02,3.98,0.5,0.94236213,3.401189824,0.7205754817805768,3.2,2.845371208835975,2.9698484809835,3.094325753131025,26.14804701389428,19.37425713339394
KBiO3,,1.64,1.6,0.6,0.82,2.02,3.44,0.5,0.94236213,1.461112979,0.7199632681172118,2.666666666666667,2.9805793616376883,3.1112698372208096,3.241960312803931,30.063951534207874,16.353763432794455
KBiS3,,1.64,1.6,1.0,0.82,2.02,2.58,0.5,0.94236213,2.07710426,0.7179853470509558,1.6,3.5214119728445405,3.6769552621700474,3.8324985514955543,49.62347593739446,11.520621650660164
