formula,A_site,B_site,X_site,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,chi_diff_BX,r_ratio_BX,bond_len_BX,inv_bond_sq,stability_index,volume,density,lattice_strain,packing_index,PC1_Size,PC2_Shape,Stability_Tag,B_site_encoded
MAGeI3,MA,Ge,I,2.17,0.73,2.2,2.55,2.01,2.66,0.1,1.23,3.05,1.0546268374693557,0.3318181818181818,0.6500000000000004,0.3318181818181818,2.93,0.11648359328588567,0.3499443597057407,201.23005600000002,4.00476182195717,0.0,0.6,-1.305210791754172,0.5943791777646918,0,0
MAGeBr3,MA,Ge,Br,2.17,0.73,1.96,2.55,2.01,2.96,0.1,1.23,3.36,1.0856323443496063,0.37244897959183676,0.9500000000000002,0.37244897959183676,2.69,0.13819598955238319,0.40434265886490445,155.72087199999999,3.6715499799129914,0.0,0.6,-0.9513612569240905,0.5092333359750894,0,0
MAGeCl3,MA,Ge,Cl,2.17,0.73,1.81,2.55,2.01,3.16,0.1,1.23,3.61,1.1079862161899445,0.4033149171270718,1.1500000000000004,0.4033149171270718,2.54,0.15500031000062,0.4468673689605853,131.09651200000002,2.670168809193284,0.0,0.6,-0.7275339955289134,0.446186963924959,0,0
MATiI3,MA,Ti,I,2.17,0.6,2.2,2.55,1.54,2.66,0.1,0.08,3.05,1.10359165492329,0.2727272727272727,1.12,0.2727272727272727,2.8000000000000003,0.12755102040816324,0.30097954225180634,175.61600000000004,4.354364717609775,0.0,0.6,-1.2734077998931834,0.06202250035637876,0,4
MATiBr3,MA,Ti,Br,2.17,0.6,1.96,2.55,1.54,2.96,0.1,0.08,3.36,1.1407621118361098,0.30612244897959184,1.42,0.30612244897959184,2.56,0.152587890625,0.34921289137840095,134.21772800000002,3.9529400543293973,0.0,0.6,-0.9195582650631019,-0.023123341433223674,0,4
MATiCl3,MA,Ti,Cl,2.17,0.6,1.81,2.55,1.54,3.16,0.1,0.08,3.61,1.1677531075196925,0.3314917127071823,1.62,0.3314917127071823,2.41,0.1721733441228629,0.38710047763083727,111.98016800000002,2.7582338140900804,0.0,0.6,-0.6957310036679248,-0.08616971348335395,0,4
FAPbI3,FA,Pb,I,2.53,1.19,2.2,2.57,2.33,2.66,0.1,0.36,3.05,0.9866121165228229,0.5409090909090909,0.33000000000000007,0.5409090909090909,3.39,0.08701629815264399,0.5336674630282542,311.66575200000005,3.3721374074808534,0.0,0.6,0.3300404646309632,0.8256863058704317,1,2
FAPbBr3,FA,Pb,Br,2.53,1.19,1.96,2.57,2.33,2.96,0.1,0.36,3.36,1.0079077611198726,0.6071428571428571,0.6299999999999999,0.6071428571428571,3.15,0.10078105316200554,0.6119439978227798,250.04699999999997,3.266738891945837,0.0,0.6,0.6838899994610451,0.7405404640808293,1,2
FAPbCl3,FA,Pb,Cl,2.53,1.19,1.81,2.57,2.33,3.16,0.1,0.36,3.61,1.0229478101165386,0.6574585635359116,0.8300000000000001,0.6574585635359116,3.0,0.1111111111111111,0.6725457978114259,216.0,2.75532922494065,0.0,0.6,0.9077172608562217,0.677494092030699,1,2
FASnI3,FA,Sn,I,2.53,1.1,2.2,2.57,1.96,2.66,0.1,1.11,3.05,1.0135197197007182,0.5,0.7000000000000002,0.5,3.3000000000000003,0.09182736455463726,0.5067598598503591,287.4960000000001,3.1444562653820167,0.0,0.6,0.38934937683356413,0.3863504239483342,1,3
