formula,a,b,c,band_gap,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,volume,density,chi_diff_BX,r_ratio_BX,lattice_strain,packing_index,PC1_Size,PC2_Shape,Stability_Tag,B_site,is_semiconductor,B_site_encoded
TbTmO3,5.655502,5.926571,8.335532,4.5689,1.095,0.9815,1.26,1.25,1.1,3.44,1.02922,0.131318,1.461112979,0.743023858,0.778968254,279.3881455,8.935618837,2.34,0.778968254,0.222211062,0.12383364,0.329244169,0.186146881,0,Other,1,1
TbVO3,5.27539823,5.67600385,7.56295853,1.4396,0.9815,0.7775,1.26,1.1,1.63,3.44,0.131318,0.527662,1.461112979,0.778021711,0.617063492,226.4590336,7.563310372,1.81,0.617063492,0.197945585,0.137185074,-0.027520198,0.172061203,0,Other,1,1
TePbO3,5.35030789,5.35030789,11.96787127,2.6752,1.293333333,1.1225,1.26,2.1,2.33,3.44,1.9708757,0.3567212,1.461112979,0.757923192,0.890873016,342.5898238,7.421719171,1.11,0.890873016,0.505633921,0.117119144,0.580572071,1.197717049,0,Pb,1,2
ThBeO3,3.659297,3.659297,3.659297,2.6968,1.08,0.59,1.26,1.3,1.57,3.44,0.607696,-0.52,1.461112979,0.894529607,0.468253968,48.99965011,9.795503214,1.87,0.468253968,0,0.638258129,-1.991460477,0.01372902,1,Other,1,1
ThCrS3,6.26398333,7.45661935,8.93150794,0.0158,1.08,0.94,0.88,1.3,1.66,2.58,0.607696,0.67592827,2.07710426,0.761614623,1.068181818,417.1741171,6.053926632,0.92,1.068181818,0.176970101,0.041516097,1.212510931,0.000824146,0,Other,1,1
ThCrSe3,6.518927,7.753569,9.376909,0.055,1.08,0.94,1.013333333,1.3,1.66,2.55,0.607696,0.67592827,2.020604712,0.757901241,0.927631579,473.9553994,7.300250734,0.89,0.927631579,0.181829896,0.046062496,1.487497779,-0.01337172,0,Other,1,1
ThTaN3,4.064437,4.064437,4.064437,0.0766,1.08,0.82,0.63,1.3,1.5,3.04,0.607696,0.32885923,-0.07,0.834024289,1.301587302,67.14306907,11.25291583,1.54,1.301587302,0,0.159784436,-1.627003869,-0.076945474,1,Other,1,1
ThTaN3,5.67700396,5.74887351,8.05416669,0.3495,1.08,0.82,0.63,1.3,1.5,3.04,0.607696,0.32885923,-0.07,0.834024289,1.301587302,262.858826,11.49750711,1.54,1.301587302,0.20824175,0.04081437,0.227461002,0.1198086,1,Other,1,1
ThTaN3,5.708718128,5.708718128,5.708718128,0.4013,1.08,0.82,0.63,1.3,1.5,3.04,0.607696,0.32885923,-0.07,0.834024289,1.301587302,132.3742809,11.41543962,1.54,1.301587302,0,0.081046087,-0.147838338,-0.444952479,1,Other,1,1
TiCdO3,3.852382,7.067657,9.41505,1.4505,1.09,0.851666667,1.26,1.69,1.54,3.44,-0.72,0.075545,1.461112979,0.787033264,0.675925926,256.3465284,5.396613231,1.9,0.675925926,0.411986647,0.129315867,0.244368961,1.122761507,0,Ti,1,4
TiCdO3,5.31246054,5.42898714,7.64691644,2.4156,1.09,0.851666667,1.26,1.69,1.54,3.44,-0.72,0.075545,1.461112979,0.787033264,0.675925926,220.5468578,6.272603839,1.9,0.675925926,0.214611477,0.150306714,-0.090884653,0.189075719,0,Ti,1,4
TiCdO3,5.369678,5.486639,7.718095,2.1213,1.09,0.851666667,1.26,1.69,1.54,3.44,-0.72,0.075545,1.461112979,0.787033264,0.675925926,227.386538,6.083926864,1.9,0.675925926,0.213743759,0.145785559,-0.037036658,0.179544408,0,Ti,1,4
TiCdO3,5.400747,5.523009,7.692163,2.4636,1.09,0.851666667,1.26,1.69,1.54,3.44,-0.72,0.075545,1.461112979,0.787033264,0.675925926,229.444717,6.02935245,1.9,0.675925926,0.20774251,0.144477824,-0.016195465,0.158866839,0,Ti,1,4
TiCdO3,5.823052726,5.823053588,5.823052171,2.9057,1.09,0.851666667,1.26,1.69,1.54,3.44,-0.72,0.075545,1.461112979,0.787033264,0.675925926,119.0441478,5.810462307,1.9,0.675925926,1.23E-07,0.278465377,-0.044984776,-0.470541911,0,Ti,1,4
TiCrO3,5.118034,5.393204,7.614145,0.4277,0.94,0.851666667,1.26,1.66,1.54,3.44,0.67592827,0.075545,1.461112979,0.736797098,0.675925926,210.1702097,4.672964173,1.9,0.675925926,0.226526865,0.148471141,-0.18195401,0.262807633,0,Ti,1,4
TiFeO3,2.920566,5.011858594,7.256845,1.6437,0.8525,0.851666667,1.26,1.83,1.54,3.44,0.15323635,0.075545,1.461112979,0.707492668,0.675925926,101.6130316,4.958433185,1.9,0.675925926,0.428314225,0.298389624,-1.200704363,1.098082471,0,Ti,1,4
TiFeO3,5.130769391,5.554206937,8.954461721,2.2487,0.8525,0.851666667,1.26,1.83,1.54,3.44,0.15323635,0.075545,1.461112979,0.707492668,0.675925926,219.1665363,4.597795231,1.9,0.675925926,0.32018642,0.138343539,0.094673822,0.56597803,0,Ti,1,4
TiFeO3,5.232802,5.291059,7.540401,1.5848,0.8525,0.851666667,1.26,1.83,1.54,3.44,0.15323635,0.075545,1.461112979,0.707492668,0.675925926,208.771566,4.826724612,1.9,0.675925926,0.21851953,0.145231819,-0.18817211,0.203483285,0,Ti,1,4
