formula,a,b,c,band_gap,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,volume,density,chi_diff_BX,r_ratio_BX,lattice_strain,packing_index,PC1_Size,PC2_Shape,Stability_Tag,B_site,is_semiconductor,B_site_encoded
KCaBr3,8.288422846,8.288422846,11.8992,,1.64,1,1.96,0.82,1,2.96,0.5,0.02,3.36,0.859994734,0.510204082,817.4506857,0.647598884,1.96,0.510204082,0.179323003,0.143475626,2.4542,0.247301991,Metastable,Ca,0,0
KCaCl3,7.868401418,7.868401418,11.2962,,1.64,1,1.81,0.82,1,3.16,0.5,0.02,3.61,0.868156012,0.552486188,699.3674073,0.439966259,2.16,0.552486188,0.179323003,0.138955049,2.36765,0.223178566,Metastable,Ca,0,0
KCaF3,4.66,4.66,4.66,,1.64,1,1.33,0.82,1,3.98,0.5,0.02,3.4,0.901333537,0.751879699,101.194696,2.228390824,2.98,0.751879699,0,0.516128016,2.09069,0.105663863,Stable_Cubic,Ca,0,0
KMnI3,5.74,5.74,5.74,,1.64,0.67,2.2,0.82,1.55,2.66,0.5,-0.5,3.06,0.946094091,0.304545455,189.119224,4.168049769,1.11,0.304545455,1.55E-16,0.811885028,2.29227,0.453574886,Stable_Cubic,Mn,1,4
KMnBr3,5.26,5.26,5.26,,1.64,0.67,1.96,0.82,1.55,2.96,0.5,-0.5,3.36,0.967902818,0.341836735,145.531576,3.807573677,1.41,0.341836735,0,0.785776497,2.15379,0.442628721,Stable_Cubic,Mn,1,4
KMnCl3,4.96,4.96,4.96,,1.64,0.67,1.81,0.82,1.55,3.16,0.5,-0.5,3.61,0.983676772,0.370165746,122.023936,2.724384403,1.61,0.370165746,0,0.772403172,2.06724,0.433752296,Stable_Cubic,Mn,1,4
KMnF3,4.2,4.2,9.8,,1.64,0.67,1.33,0.82,1.55,3.98,0.5,-0.5,3.4,1.05005357,0.503759398,172.872,1.447564545,2.43,0.503759398,0.435142635,0.285184764,1.79028,0.386229979,Unstable_Hexagonal,Mn,1,4
KFeI3,5.68,5.68,5.68,,1.64,0.64,2.2,0.82,1.83,2.66,0.5,0.16,3.06,0.956088042,0.290909091,183.250432,4.309691472,0.83,0.290909091,0,0.837003754,2.21896,0.470281519,Stable_Cubic,Fe,1,1
KFeBr3,5.2,5.2,5.2,,1.64,0.64,1.96,0.82,1.83,2.96,0.5,0.16,3.36,0.979070928,0.326530612,140.608,3.951529671,1.13,0.326530612,0,0.812141024,2.08048,0.461346003,Stable_Cubic,Fe,1,1
KFeCl3,4.9,4.9,4.9,,1.64,0.64,1.81,0.82,1.83,3.16,0.5,0.16,3.61,0.995721794,0.35359116,117.649,2.838397215,1.33,0.35359116,0,0.799751025,1.99393,0.453986358,Stable_Cubic,Fe,1,1
