formula,a,b,c,band_gap,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,volume,density,chi_diff_BX,r_ratio_BX,lattice_strain,packing_index,PC1_Size,PC2_Shape,Stability_Tag,B_site,is_semiconductor,B_site_encoded,True_Structural_Tag
CsCaCl3,5.62,5.62,5.62,1.501,1.81,1.0,1.81,0.79,1.0,3.16,0.47,0.02,3.61,0.9109347145534884,0.5524861878453039,177.50432800000002,2.610960077548081,2.16,0.5524861878453039,0.0,0.5833241106981201,2.46574,0.2534231083826863,Stable_Cubic,Ca,0,0,Stable_Cubic
CsCaF3,4.66,4.66,4.66,1.77,1.81,1.0,1.33,0.79,1.0,3.98,0.47,0.02,3.4,0.9529250184230724,0.7518796992481203,101.194696,3.7675886095848337,2.98,0.7518796992481203,0.0,0.5789961529758514,2.18878,0.1421390406566912,Stable_Cubic,Ca,0,0,Stable_Cubic
CsMnI3,5.74,5.74,5.74,2.108,1.81,0.67,2.2,0.79,1.55,2.66,0.47,-0.5,3.06,0.9879784643059426,0.3045454545454545,189.119224,4.991650082066749,1.11,0.3045454545454545,1.5473491632406364e-16,0.8455247702781338,2.39036,0.483187137900665,Stable_Cubic,Mn,1,4,Stable_Cubic
CsMnBr3,5.26,5.26,5.26,2.033,1.81,0.67,1.96,0.79,1.55,2.96,0.47,-0.5,3.36,1.0136093403320472,0.3418367346938776,145.53157599999997,4.877847608824081,1.41,0.3418367346938776,0.0,0.8294915603486761,2.2518799999999994,0.4749432321861859,Stable_Cubic,Mn,1,4,Stable_Cubic
CsMnCl3,5.208,5.208,12.152,2.169,1.81,0.67,1.81,0.79,1.55,3.16,0.47,-0.5,3.61,1.0321478015706864,0.3701657458563536,329.60190412800006,1.4811770013634666,1.61,0.3701657458563536,0.435142634576337,0.3052579366779694,2.16533,0.4680213133900333,Unstable_Hexagonal,Mn,1,4,Unstable_Hexagonal
CsMnF3,4.2,4.2,9.8,1.953,1.81,0.67,1.33,0.79,1.55,3.98,0.47,-0.5,3.4,1.1101576464628795,0.5037593984962406,172.872,2.348570213799805,2.43,0.5037593984962406,0.4351426345763369,0.3219861087344194,1.88837,0.4287235613124136,Unstable_Hexagonal,Mn,1,4,Unstable_Hexagonal
CsFeI3,5.680000000000001,5.680000000000001,5.680000000000001,1.887,1.81,0.64,2.2,0.79,1.83,2.66,0.47,0.16,3.06,0.9984148565345264,0.2909090909090909,183.25043200000005,5.159668469430947,0.8300000000000001,0.2909090909090909,0.0,0.8717208455959341,2.31705,0.5002065762971829,Stable_Cubic,Fe,1,1,Stable_Cubic
CsFeBr3,5.460000000000001,5.460000000000001,12.740000000000002,1.756,1.81,0.64,1.96,0.79,1.83,2.96,0.47,0.16,3.36,1.025304832720494,0.326530612244898,379.79978400000016,1.873027226366194,1.13,0.326530612244898,0.4351426345763369,0.3174184195094835,2.17857,0.4940333738762462,Unstable_Hexagonal,Fe,1,1,Unstable_Hexagonal
CsFeCl3,5.1450000000000005,5.1450000000000005,12.005000000000004,1.911,1.81,0.64,1.81,0.79,1.83,3.16,0.47,0.16,3.61,1.044786346079715,0.3535911602209944,317.78465512500014,1.5409593827221764,1.33,0.3535911602209944,0.435142634576337,0.3161003172126482,2.09202,0.4886749964021155,Unstable_Hexagonal,Fe,1,1,Unstable_Hexagonal
CsFeF3,4.1370000000000005,4.1370000000000005,9.653000000000002,1.603,1.81,0.64,1.33,0.79,1.83,3.98,0.47,0.16,3.4,1.1270636004699284,0.4812030075187969,165.20886515700008,2.4665535691002467,2.15,0.4812030075187969,0.435142634576337,0.3359421157422453,1.81506,0.4566234392164498,Unstable_Hexagonal,Fe,1,1,Unstable_Hexagonal
RbPbI3,9.25277507453845,9.444542433596242,13.3566,2.567,1.72,1.19,2.2,0.82,2.33,2.66,0.49,0.36,3.06,0.8176573988941788,0.5409090909090909,1167.2095903440122,0.9578755959934148,0.33,0.5409090909090909,0.1769814501876088,0.1389467104246201,2.48247,0.1956610537454571,Unstable_Distorted,Pb,1,5,Unstable_Distorted
RbPbBr3,8.820449988520993,8.820449988520993,12.662999999999998,2.648,1.72,1.19,1.96,0.82,2.33,2.96,0.49,0.36,3.36,0.8260803031004745,0.6071428571428571,985.1856800939996,0.897196802450137,0.6299999999999999,0.6071428571428571,0.1793230027965839,0.1248416020126246,2.34399,0.1547887742920354,Metastable,Pb,1,5,Metastable
RbPbCl3,8.400428560496186,8.400428560496186,12.06,2.529,1.72,1.19,1.81,0.82,2.33,3.16,0.49,0.36,3.61,0.8320289791961709,0.6574585635359116,851.0404320000002,0.7781338313665452,0.8300000000000001,0.6574585635359116,0.1793230027965838,0.1208973602629413,2.25744,0.1234212838718034,Metastable,Pb,1,5,Metastable
RbPbF3,7.056359990816795,7.056359990816795,10.1304,2.197,1.72,1.19,1.33,0.82,2.33,3.98,0.49,0.36,3.4,0.8558236835789562,0.894736842105263,504.415068208128,1.149899474772775,1.65,0.894736842105263,0.1793230027965839,0.1148604210447991,1.98048,-0.0275116030780988,Metastable,Pb,1,5,Metastable
RbSnI3,9.240471416545804,9.240471416545804,13.266,2.849,1.72,1.1,2.2,0.82,1.96,2.66,0.49,1.11,3.06,0.8399571461367472,0.5,1132.734814992,0.8572913793656624,0.7000000000000002,0.5,0.179323002796584,0.1418658922436025,2.50454,0.2403497023186803,Metastable,Sn,1,6,Metastable
RbSnBr3,8.568437131706109,8.568437131706109,12.3012,2.704,1.72,1.1,1.96,0.82,1.96,2.96,0.49,1.11,3.36,0.8503767826034296,0.5612244897959184,903.130914761856,0.8159920560291346,1.0,0.5612244897959184,0.1793230027965839,0.1345415806796242,2.36606,0.2044306710149104,Metastable,Sn,1,6,Metastable
RbSnCl3,8.1484157036813,8.1484157036813,11.6982,2.697,1.72,1.1,1.81,0.82,1.96,3.16,0.49,1.11,3.61,0.8577618342228566,0.6077348066298343,776.7216241947363,0.6633851124387067,1.2000000000000002,0.6077348066298343,0.1793230027965839,0.1305551960920719,2.27951,0.1767691085082667,Metastable,Sn,1,6,Metastable
