formula,rA,rB,rX,chi_A,chi_B,chi_X,tolerance_factor,octahedral_factor,volume,density
FAMgS3,2.53,0.86,0.88,2.57,1.31,2.58,1.3859760360272482,0.9772727272727273,42.144192,6.523443942058503
FAMgSe3,2.53,0.86,1.0133333333333334,2.57,1.31,2.55,1.3376655408296292,0.8486842105263157,52.59387496296298,9.66925661127638
FAAlI3,2.53,0.675,1.2733333333333334,2.57,1.61,2.66,1.3805486622229375,0.5301047120418848,59.16702996296298,12.706989917789425
FAAlBr3,2.53,0.675,0.8825000000000001,2.57,1.61,2.96,1.5495128967150325,0.7648725212464589,30.225545875000005,17.127599041406324
FAAlCl3,2.53,0.675,0.7799999999999999,2.57,1.61,3.16,1.608850133908825,0.8653846153846155,24.642171000000005,12.021992233393512
FAAlF3,2.53,0.675,0.705,2.57,1.61,3.98,1.6578521206157883,0.9574468085106385,21.024575999999996,10.191671399714734
FAAlO3,2.53,0.675,1.26,2.57,1.61,3.44,1.3851883527223154,0.5357142857142857,57.960603000000006,3.4391521905405438
FAAlS3,2.53,0.675,0.88,2.57,1.61,2.58,1.5508670756832226,0.7670454545454546,30.08023100000001,9.287491003391153
FAAlSe3,2.53,0.675,1.0133333333333334,2.57,1.61,2.55,1.4842409357280388,0.6661184210526315,38.50034062962964,13.324252866494318
FASiI3,2.53,0.54,1.2733333333333334,2.57,1.9,2.66,1.4833284799068143,0.42408376963350786,47.700498962962975,15.800003846344072
FASiBr3,2.53,0.54,0.8825000000000001,2.57,1.9,2.96,1.6965668447336824,0.6118980169971672,23.027501125000004,22.56103437437413
FASiCl3,2.53,0.54,0.7799999999999999,2.57,1.9,3.16,1.7733916248767734,0.6923076923076924,18.399743999999995,16.200290735479037
FASiF3,2.53,0.54,0.705,2.57,1.9,3.98,1.837619218031958,0.7659574468085107,15.438249000000004,13.998270386282783
FASiO3,2.53,0.54,1.26,2.57,1.9,3.44,1.4890774791764891,0.4285714285714286,46.656000000000006,4.31174015464103
FASiS3,2.53,0.54,0.88,2.57,1.9,2.58,1.6983086638643745,0.6136363636363636,22.906303999999995,12.276231411006286
FASiSe3,2.53,0.54,1.0133333333333334,2.57,1.9,2.55,1.6132361243481794,0.5328947368421052,29.983613629629637,17.170094780338207
FAKI3,2.53,1.52,1.2733333333333334,2.57,0.82,2.66,0.9629244547366431,1.193717277486911,174.36458429629633,4.427250420673589
FAKBr3,2.53,1.52,0.8825000000000001,2.57,0.82,2.96,1.0045229288797766,1.7223796033994334,110.93796012499998,4.847861416597967
FAKCl3,2.53,1.52,0.7799999999999999,2.57,0.82,3.16,1.0177725847118873,1.948717948717949,97.33599999999998,3.250275482323015
FAKF3,2.53,1.52,0.705,2.57,0.82,3.98,1.0282408658201294,2.1560283687943262,88.121125,2.6599342198793634
FAKO3,2.53,1.52,1.26,2.57,0.82,3.44,0.9641508857977268,1.2063492063492063,171.87961600000006,1.2768015536172646
FAKS3,2.53,1.52,0.88,2.57,0.82,2.58,1.0048326261197549,1.7272727272727273,110.59199999999998,2.708068402451044
FAKSe3,2.53,1.52,1.0133333333333334,2.57,0.82,2.55,0.9891684657187523,1.5,130.06696296296295,4.098727976900585
FACaI3,2.53,1.14,1.2733333333333334,2.57,1.0,2.66,1.1145451561730761,0.8952879581151831,112.44545896296293,6.879624614999088
FACaBr3,2.53,1.14,0.8825000000000001,2.57,1.0,2.96,1.1932590045160263,1.2917847025495748,66.18439112499999,8.150542983123763
FACaCl3,2.53,1.14,0.7799999999999999,2.57,1.0,3.16,1.2192067421027817,1.4615384615384617,56.62310399999999,5.61600583566576
FACaF3,2.53,1.14,0.705,2.57,1.0,3.98,1.2400194723305087,1.6170212765957446,50.24340899999998,4.697596535137239
FACaO3,2.53,1.14,1.26,2.57,1.0,3.44,1.116808109382367,0.9047619047619047,110.59199999999998,1.9990869944847294
FACaS3,2.53,1.14,0.88,2.57,1.0,2.58,1.1938605458848572,1.2954545454545454,65.93926400000001,4.566589777434914
FACaSe3,2.53,1.14,1.0133333333333334,2.57,1.0,2.55,1.1637276067279438,1.1249999999999998,79.87737362962963,6.694461069743414
FAScI3,2.53,0.885,1.2733333333333334,2.57,1.36,2.66,1.2462250086012463,0.6950261780104712,80.43508796296295,9.71818045949757
FAScBr3,2.53,0.885,0.8825000000000001,2.57,1.36,2.96,1.3654123545310681,1.0028328611898016,44.174155375000005,12.395005015969756
FAScCl3,2.53,0.885,0.7799999999999999,2.57,1.36,3.16,1.405932099001406,1.1346153846153848,36.926037,8.83105423066857
FAScF3,2.53,0.885,0.705,2.57,1.36,3.98,1.4388905197797408,1.2553191489361704,32.15743199999999,7.591508451453717
FAScO3,2.53,0.885,1.26,2.57,1.36,3.44,1.2495755070012498,0.7023809523809523,78.95358900000001,2.9027582478514082
FAScS3,2.53,0.885,0.88,2.57,1.36,2.58,1.366344647414964,1.0056818181818181,43.98697700000001,7.02975614094024
FAScSe3,2.53,0.885,1.0133333333333334,2.57,1.36,2.55,1.3200492255421452,0.8733552631578947,54.727726629629636,9.91885017559231
FATiI3,2.53,0.8516666666666667,1.2733333333333334,2.57,1.54,2.66,1.265773636187148,0.668848167539267,76.765625,10.245689896257316
FATiBr3,2.53,0.8516666666666667,0.8825000000000001,2.57,1.54,2.96,1.3916576664874558,0.9650613786591123,41.721747412037054,13.239449449155424
FATiCl3,2.53,0.8516666666666667,0.7799999999999999,2.57,1.54,3.16,1.4346538987767155,1.091880341880342,34.7523607037037,9.522516367590216
FATiF3,2.53,0.8516666666666667,0.705,2.57,1.54,3.98,1.4697018799463304,1.2080378250591017,30.1770557037037,8.249893813107693
FATiO3,2.53,0.8516666666666667,1.26,2.57,1.54,3.44,1.2693004558094776,0.6759259259259259,75.32967270370372,3.1065748942044396
FATiS3,2.53,0.8516666666666667,0.88,2.57,1.54,2.58,1.3926457955846459,0.9678030303030303,41.54156737037037,7.559941280739654
FATiSe3,2.53,0.8516666666666667,1.0133333333333334,2.57,1.54,2.55,1.343642598652818,0.8404605263157894,51.89511700000002,10.553405424113658
FAVI3,2.53,0.7775000000000001,1.2733333333333334,2.57,1.63,2.66,1.311549277642108,0.6106020942408377,69.00508417129629,11.471940722117333
