formula,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,a,b,c,volume,density
KZnCl3,1.52,0.88,0.7799999999999999,0.82,1.65,3.16,0.50145913,-0.62,3.61272528,0.9797262630897947,1.1282051282051284,3.32,3.32,3.32,36.594367999999996,9.568683182339704
KZnF3,1.52,0.88,0.705,0.82,1.65,3.98,0.50145913,-0.62,3.401189824,0.9926262385741755,1.24822695035461,3.17,3.17,3.17,31.855013,8.419004418058915
KZnO3,1.52,0.88,1.26,0.82,1.65,3.44,0.50145913,-0.62,1.461112979,0.9185779680834588,0.6984126984126984,4.28,4.28,4.28,78.402752,3.230081261005943
KZnS3,1.52,0.88,0.88,0.82,1.65,2.58,0.50145913,-0.62,2.07710426,0.9642365197998375,1.0,3.52,3.52,3.52,43.614208,7.641587807038091
KMnI3,1.52,0.8775,1.2733333333333334,0.82,1.55,2.66,0.50145913,-0.52,3.059046537,0.918334727058236,0.6891361256544501,4.301666666666667,4.301666666666667,4.301666666666667,79.59948583796297,9.904070785290198
KMnBr3,1.52,0.8775,0.8825000000000001,0.82,1.55,2.96,0.50145913,-0.52,3.3635883,0.9652409328412956,0.9943342776203965,3.52,3.52,3.52,43.614208,12.707215033266396
KMnCl3,1.52,0.8775,0.7799999999999999,0.82,1.55,3.16,0.50145913,-0.52,3.61272528,0.9812039799270342,1.125,3.3149999999999995,3.3149999999999995,3.3149999999999995,36.42928087499998,9.134741872198141
KMnF3,1.52,0.8775,0.705,0.82,1.55,3.98,0.50145913,-0.52,3.401189824,0.9941943684929341,1.2446808510638299,3.165,3.165,3.165,31.704517125000002,7.910533944689536
KMnO3,1.52,0.8775,1.26,0.82,1.55,3.44,0.50145913,-0.52,1.461112979,0.9196523282800477,0.6964285714285714,4.275,4.275,4.275,78.12829687500002,3.0188732279270645
KMnS3,1.52,0.8775,0.88,0.82,1.55,2.58,0.50145913,-0.52,2.07710426,0.9656081222462098,0.9971590909090908,3.5149999999999997,3.5149999999999997,3.5149999999999997,43.42861587499999,7.273866722085632
KFeI3,1.52,0.8525,1.2733333333333334,0.82,1.83,2.66,0.50145913,0.15323635,3.059046537,0.9291344298460632,0.6695026178010471,4.251666666666667,4.251666666666667,4.251666666666667,76.85597292129631,10.27721049648151
KFeBr3,1.52,0.8525,0.8825000000000001,0.82,1.83,2.96,0.50145913,0.15323635,3.3635883,0.979149303631516,0.9660056657223796,3.47,3.47,3.47,41.781923000000006,13.300517282887215
KFeCl3,1.52,0.8525,0.7799999999999999,0.82,1.83,3.16,0.50145913,0.15323635,3.61272528,0.9962300745660393,1.092948717948718,3.2649999999999997,3.2649999999999997,3.2649999999999997,34.80563462499999,9.60413882397597
KFeF3,1.52,0.8525,0.705,0.82,1.83,3.98,0.50145913,0.15323635,3.401189824,1.0101525445522106,1.2092198581560285,3.115,3.115,3.115,30.225545875000005,8.347433306014976
KFeO3,1.52,0.8525,1.26,0.82,1.83,3.44,0.50145913,0.15323635,1.461112979,0.9305357877863206,0.6765873015873016,4.225,4.225,4.225,75.41889062499997,3.1472949446030225
KFeS3,1.52,0.8525,0.88,0.82,1.83,2.58,0.50145913,0.15323635,2.07710426,0.9795418613839618,0.96875,3.465,3.465,3.465,41.601569624999996,7.629520618395602
KCoI3,1.52,0.7683333333333334,1.2733333333333334,0.82,1.88,2.66,0.50145913,0.66225547,3.059046537,0.9674375226682884,0.6034031413612566,4.083333333333334,4.083333333333334,4.083333333333334,68.08391203703707,11.676667455611357
KCoBr3,1.52,0.7683333333333334,0.8825000000000001,0.82,1.88,2.96,0.50145913,0.66225547,3.3635883,1.0290705957399375,0.8706326723323891,3.3016666666666667,3.3016666666666667,3.3016666666666667,35.991477504629636,15.582838387536377
KCoCl3,1.52,0.7683333333333334,0.7799999999999999,0.82,1.88,3.16,0.50145913,0.66225547,3.61272528,1.0503846695774333,0.9850427350427353,3.0966666666666667,3.0966666666666667,3.0966666666666667,29.695003296296296,11.429745661855133
KCoF3,1.52,0.7683333333333334,0.705,0.82,1.88,3.98,0.50145913,0.66225547,3.401189824,1.0678592227195032,1.0898345153664304,2.9466666666666668,2.9466666666666668,2.9466666666666668,25.5854482962963,10.061731717878715
KCoO3,1.52,0.7683333333333334,1.26,0.82,1.88,3.44,0.50145913,0.66225547,1.461112979,0.9691488175999683,0.6097883597883599,4.056666666666667,4.056666666666667,4.056666666666667,66.7587152962963,3.63238987486351
KCoS3,1.52,0.7683333333333334,0.88,0.82,1.88,2.58,0.50145913,0.66225547,2.07710426,1.0295589129510903,0.8731060606060607,3.296666666666667,3.296666666666667,3.296666666666667,35.82820996296297,9.002074673964998
KNiI3,1.52,0.74,1.2733333333333334,0.82,1.91,2.66,0.50145913,1.1571612,3.059046537,0.9810521235667661,0.581151832460733,4.026666666666667,4.026666666666667,4.026666666666667,65.28855229629633,12.17051035309376
KNiBr3,1.52,0.74,0.8825000000000001,0.82,1.91,2.96,0.50145913,1.1571612,3.3635883,1.0470410118956426,0.838526912181303,3.245,3.245,3.245,34.169931125000005,16.40188202194673
KNiCl3,1.52,0.74,0.7799999999999999,0.82,1.91,3.16,0.50145913,1.1571612,3.61272528,1.0699642083743808,0.9487179487179488,3.04,3.04,3.04,28.094464000000002,12.066723779874122
KNiF3,1.52,0.74,0.705,0.82,1.91,3.98,0.50145913,1.1571612,3.401189824,1.0887976388512586,1.049645390070922,2.8899999999999997,2.8899999999999997,2.8899999999999997,24.137568999999992,10.648782334542117
KNiO3,1.52,0.74,1.26,0.82,1.91,3.44,0.50145913,1.1571612,1.461112979,0.9828784258493011,0.5873015873015873,4.0,4.0,4.0,64.0,3.782741925440053
KNiS3,1.52,0.74,0.88,0.82,1.91,2.58,0.50145913,1.1571612,2.07710426,1.047565601757848,0.8409090909090909,3.24,3.24,3.24,34.012224,9.471007342774477
KCuI3,1.52,0.82,1.2733333333333334,0.82,1.9,2.66,0.50145913,1.235784,3.059046537,0.9435596857234504,0.643979057591623,4.1866666666666665,4.1866666666666665,4.1866666666666665,73.38463762962962,10.937617842270832
KCuBr3,1.52,0.82,0.8825000000000001,0.82,1.9,2.96,0.50145913,1.235784,3.3635883,0.9978408468726461,0.9291784702549574,3.4050000000000002,3.4050000000000002,3.4050000000000002,39.477655125000005,14.400786911888147
KCuCl3,1.52,0.82,0.7799999999999999,0.82,1.9,3.16,0.50145913,1.235784,3.61272528,1.016465997955662,1.0512820512820513,3.1999999999999997,3.1999999999999997,3.1999999999999997,32.767999999999994,10.59162161430225
KCuF3,1.52,0.82,0.705,0.82,1.9,3.98,0.50145913,1.235784,3.401189824,1.0316803856656185,1.1631205673758864,3.05,3.05,3.05,28.372624999999996,9.343296173400594
KCuO3,1.52,0.82,1.26,0.82,1.9,3.44,0.50145913,1.235784,1.461112979,0.9450754094704817,0.6507936507936507,4.16,4.16,4.16,71.991296,3.4747756652971207
KCuS3,1.52,0.82,0.88,0.82,1.9,2.58,0.50145913,1.235784,2.07710426,0.9982683969692435,0.9318181818181818,3.4,3.4,3.4,39.303999999999995,8.400878879348895
KZrI3,1.52,0.86,1.2733333333333334,0.82,1.33,2.66,0.50145913,0.433289,3.059046537,0.9258679416161357,0.675392670157068,4.266666666666667,4.266666666666667,4.266666666666667,77.6722962962963,10.925576260065327
KZrBr3,1.52,0.86,0.8825000000000001,0.82,1.33,2.96,0.50145913,0.433289,3.3635883,0.9749348876904907,0.9745042492917846,3.4850000000000003,3.4850000000000003,3.4850000000000003,42.32610912500001,14.51753507544482
KZrCl3,1.52,0.86,0.7799999999999999,0.82,1.33,3.16,0.50145913,0.433289,3.61272528,0.9916741443469872,1.1025641025641026,3.28,3.28,3.28,35.28755199999999,11.13785766863665
