formula,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,a,b,c,volume,density
RbFeCl3,1.72,0.645,1.81,0.82,1.83,3.16,0.49,0.16,3.61,1.0167360234576426,0.356353591160221,4.91,4.91,4.91,118.370771,3.474466883490071
RbFeO3,1.72,0.645,1.4,0.82,1.83,3.44,0.49,0.16,1.46,1.0788132798542924,0.46071428571428574,4.09,4.09,4.09,68.41792899999999,4.5950032256946685
RbFeF3,1.72,0.645,1.33,0.82,1.83,3.98,0.49,0.16,3.4,1.09198768740201,0.4849624060150376,3.95,3.95,3.95,61.629875000000006,5.342798245880577
RbCoI3,1.72,0.65,2.2,0.82,1.88,2.66,0.49,0.66,3.05,0.9725819586846548,0.2954545454545454,5.7,5.7,5.7,185.193,4.708436308969495
RbCoBr3,1.72,0.65,1.96,0.82,1.88,2.96,0.49,0.66,3.36,0.9969934692591934,0.3316326530612245,5.22,5.22,5.22,142.23664799999997,4.484273027381227
RbCoCl3,1.72,0.65,1.81,0.82,1.88,3.16,0.49,0.66,3.61,1.0146694868245987,0.35911602209944754,4.92,4.92,4.92,119.09548799999999,3.4962693438603063
RbCoO3,1.72,0.65,1.4,0.82,1.88,3.44,0.49,0.66,1.46,1.076182027952209,0.46428571428571436,4.1,4.1,4.1,68.92099999999998,4.635672499298399
RbCoF3,1.72,0.65,1.33,0.82,1.88,3.98,0.49,0.66,3.4,1.0892301427368534,0.48872180451127817,3.96,3.96,3.96,62.099136,5.384786157373194
RbNiI3,1.72,0.69,2.2,0.82,1.91,2.66,0.49,1.16,3.05,0.9591206166959398,0.3136363636363636,5.78,5.78,5.78,193.10055200000002,4.5135598922344
RbNiBr3,1.72,0.69,1.96,0.82,1.91,2.96,0.49,1.16,3.36,0.9819445112326395,0.3520408163265306,5.3,5.3,5.3,148.87699999999998,4.281584297373357
RbNiCl3,1.72,0.69,1.81,0.82,1.91,3.16,0.49,1.16,3.61,0.9984347750354051,0.38121546961325964,5.0,5.0,5.0,125.0,3.3279309199601466
RbNiO3,1.72,0.69,1.4,0.82,1.91,3.44,0.49,1.16,1.46,1.0555852427282433,0.4928571428571428,4.18,4.18,4.18,73.03463199999999,4.369114170831726
RbNiF3,1.72,0.69,1.33,0.82,1.91,3.98,0.49,1.16,3.4,1.067661229019292,0.5187969924812029,4.04,4.04,4.04,65.93926400000001,5.065146453957549
RbCuI3,1.72,0.73,2.2,0.82,1.9,2.66,0.49,1.24,3.05,0.9460268198809781,0.3318181818181818,5.86,5.86,5.86,201.23005600000002,4.371321723319909
